"Representation","Model","Fold1","Fold2","Fold3","Fold4","Fold5","Mean","SD"
"BoW","Naive Bayes",0.37037037037037,0.375,0.341,0.333,0.359359359359359,0.355745945945946,0.0182515076265978
"BoW","SVM",0.456456456456456,0.463,0.459,0.44,0.455455455455455,0.454782382382382,0.00876201914435209
"BoW","Multinom LR",0.445445445445445,0.482,0.459,0.464,0.455455455455455,0.46118018018018,0.0134770528780442
"TF-IDF","Naive Bayes",0.329329329329329,0.319,0.31,0.296,0.312312312312312,0.313328328328328,0.0122533762005169
"TF-IDF","SVM",0.46046046046046,0.471,0.461,0.456,0.474474474474474,0.464586986986987,0.00778652982807361
"TF-IDF","Multinom LR",0.471471471471471,0.494,0.473,0.466,0.471471471471471,0.475188588588589,0.0108480781578415
